Week Day,Date In,# 120 ltr Bins,Weight In (kg),Run time (hr),Date Ejected,Weight out (kg),Weight of Oversized (kg),Volume Out (ltr),Volume of Oversized (ltr),Volume In (ltr),Organics Density (kg/120 ltr),Mass Reduction,Volume Reduction,Weekly Weight In (kg),Weight Collected (kg),Est. CO2-e Produced if landfill (ton),Est. Energy Use (kWh),Est. CO2-e Produced by Dehydrator (ton),Total Monthly Weight In (kg),Total Monthly Weight Out (kg)
Sunday,07/03/2016 12:00:00 AM,10,581.4,10.5,4-Jul,200.2,17.3,420,40,1200,58.14,63,62,,,0.93,407,0.549,,
Monday,07/04/2016 12:00:00 AM,,,,,,,,,,,,,2960.4,,,,,,
Tuesday,07/05/2016 12:00:00 AM,10,600.7,10.5,6-Jul,194.9,18,370,30,1200,60.07,65,67,,,0.961,420.5,0.568,,
Wednesday,07/06/2016 12:00:00 AM,10,601.8,10.5,8-Jul,202.1,20.2,360,50,1200,60.18,63,66,,,0.963,421.3,0.569,,
Thursday,07/07/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/08/2016 12:00:00 AM,9,597.5,10.5,9-Jul,216.7,31.2,320,60,1080,66.39,59,65,,1055.3,0.956,418.3,0.565,,
Saturday,07/09/2016 12:00:00 AM,9,559,10.5,10-Jul,231.7,24,380,50,1080,62.11,54,60,,,0.894,391.3,0.528,,
Sunday,07/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,07/11/2016 12:00:00 AM,11,596.2,10.5,12-Jul,219.1,22.1,440,40,1320,54.2,60,64,2359,,0.954,417.3,0.563,,
Tuesday,07/12/2016 12:00:00 AM,9,582,10.5,13-Jul,194.9,18.4,380,50,1080,64.67,63,60,,,0.931,407.4,0.55,,
Wednesday,07/13/2016 12:00:00 AM,11,592.2,10.5,14-Jul,190.6,40.7,400,90,1320,53.84,61,63,,,0.948,414.5,0.56,,
Thursday,07/14/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/15/2016 12:00:00 AM,10,609.1,10.5,16-Jul,209.4,51.6,340,80,1200,60.91,57,65,,1053,0.975,426.4,0.576,,
Saturday,07/16/2016 12:00:00 AM,11,600.1,10.5,18-Jul,183.3,24.2,340,20,1320,54.55,65,73,,,0.96,420.1,0.567,,
Sunday,07/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,07/18/2016 12:00:00 AM,10,604.4,10.5,20-Jul,200.8,95.2,340,30,1200,60.44,51,69,2979.6,,0.967,423.1,0.571,,
Tuesday,07/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,07/20/2016 12:00:00 AM,8,597.8,10.5,22-Jul,169.9,21.8,340,50,960,74.73,68,59,,,0.956,418.5,0.565,,
Thursday,07/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,07/22/2016 12:00:00 AM,9,610.9,11,23-Jul,185.7,22,330,20,1080,67.88,66,68,,763.4,0.977,427.6,0.577,,
Saturday,07/23/2016 12:00:00 AM,9,590.4,11,24-Jul,206.7,23.8,400,50,1080,65.6,61,58,,,0.945,413.3,0.558,,
Sunday,07/24/2016 12:00:00 AM,9,609.8,11,25-Jul,140.2,19.1,245,20,1080,67.76,74,75,,,0.976,426.9,0.576,,
Monday,07/25/2016 12:00:00 AM,,,,,,,,,,,,,3013.3,,,,,,
Tuesday,07/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,07/27/2016 12:00:00 AM,10,611.9,10.5,28-Jul,202.5,27.3,380,70,1200,61.19,62,63,,,0.979,428.3,0.578,,
Thursday,07/28/2016 12:00:00 AM,9,591.4,10.5,29-Jul,218.8,28.6,270,50,1080,65.71,58,70,,,0.946,414,0.559,,
Friday,07/29/2016 12:00:00 AM,9,609.5,10.5,30-Jul,219.2,24.8,420,40,1080,67.72,60,57,,735.1,0.975,426.7,0.576,,
Saturday,07/30/2016 12:00:00 AM,10,601.4,10.5,31-Jul,174.7,38.6,240,60,1200,60.14,65,75,,,0.962,421,0.568,,
Sunday,07/31/2016 12:00:00 AM,9,594.6,10.5,2-Aug,220.5,23.4,420,20,1080,66.07,59,59,,,0.951,416.2,0.562,12547,4204.4
Monday,08/01/2016 12:00:00 AM,,,,,,,,,,,,,3008.8,,,,,,
Tuesday,08/02/2016 12:00:00 AM,9,584.3,10.5,4-Aug,215.3,23.8,330,60,1080,64.92,59,64,,,0.935,409,0.552,,
Wednesday,08/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,08/04/2016 12:00:00 AM,11,579.5,10.5,5-Aug,190,21.3,350,40,1320,52.68,64,70,,,0.927,405.7,0.548,,
Friday,08/05/2016 12:00:00 AM,9,587.8,11,6-Aug,211.7,22,350,40,1080,65.31,60,64,,1048.5,0.94,411.5,0.555,,
Saturday,08/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,08/07/2016 12:00:00 AM,10,585,10.5,8-Aug,209.7,36.2,340,40,1200,58.5,58,68,,,0.936,409.5,0.553,,
Monday,08/08/2016 12:00:00 AM,11,584.7,10.5,9-Aug,206.1,23.8,440,60,1320,53.15,61,62,2336.6,,0.936,409.3,0.553,,
Tuesday,08/09/2016 12:00:00 AM,8,614.2,11,11-Aug,205,24.2,300,20,960,76.78,63,67,,,0.983,429.9,0.58,,
Wednesday,08/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,08/11/2016 12:00:00 AM,10,606.1,10.5,14-Aug,216.8,40.7,360,60,1200,60.61,58,65,,,0.97,424.3,0.573,,
Friday,08/12/2016 12:00:00 AM,,,,,,,,,,,,,,1022.5,,,,,
Saturday,08/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,08/15/2016 12:00:00 AM,,,,,,,,,,,,,2409.5,,,,,,
Tuesday,08/16/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,08/17/2016 12:00:00 AM,10,606.6,10,18-Aug,255.5,23.5,460,60,1200,60.66,54,57,,,0.971,424.6,0.573,,
Thursday,08/18/2016 12:00:00 AM,9,598,10,19-Aug,161.1,11.3,290,30,1080,66.44,71,70,,,0.957,418.6,0.565,,
Friday,08/19/2016 12:00:00 AM,10,600.5,10.5,20-Aug,189.9,29.6,310,60,1200,60.05,63,69,,472.3,0.961,420.4,0.567,,
Saturday,08/20/2016 12:00:00 AM,9,604.5,10.5,21-Aug,204.9,46.5,450,50,1080,67.17,58,54,,,0.967,423.2,0.571,,
Sunday,08/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,08/22/2016 12:00:00 AM,11,602.6,11,23-Aug,232.7,43.2,420,70,1320,54.78,54,63,2409.6,,0.964,421.8,0.569,,
Tuesday,08/23/2016 12:00:00 AM,10,617.5,13,25-Aug,147.1,29.3,340,30,1200,61.75,71,69,,,0.988,432.3,0.584,,
Wednesday,08/24/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,08/25/2016 12:00:00 AM,10,581.3,10.5,26-Aug,220.9,15.6,430,30,1200,58.13,59,62,,,0.93,406.9,0.549,,
Friday,08/26/2016 12:00:00 AM,9,590.2,10.5,27-Aug,153.9,61.2,220,100,1080,65.58,64,70,,935.7,0.944,413.1,0.558,,
Saturday,08/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,08/28/2016 12:00:00 AM,8,579,10.5,29-Aug,207.7,22,325,50,960,72.38,60,61,,,0.926,405.3,0.547,,
Monday,08/29/2016 12:00:00 AM,11,586.3,10.5,30-Aug,212.3,19.7,330,40,1320,53.3,60,72,2970.6,,0.938,410.4,0.554,,
Tuesday,08/30/2016 12:00:00 AM,10,606.1,10.5,31-Aug,200.8,20.7,320,40,1200,60.61,63,70,,,0.97,424.3,0.573,,
Wednesday,08/31/2016 12:00:00 AM,11,618.1,11,1-Sep,171.5,55.4,260,90,1320,56.19,63,73,,,0.989,432.7,0.584,11936.8,3812.9
Thursday,09/01/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,09/02/2016 12:00:00 AM,10,587.4,10.5,3-Sep,171.5,82.5,360,110,1200,58.74,57,61,,1167.1,0.94,411.2,0.555,,
Saturday,09/03/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,09/04/2016 12:00:00 AM,10,589.7,10.5,5-Sep,231.3,26,430,30,1200,58.97,56,62,,,0.944,412.8,0.557,,
Monday,09/05/2016 12:00:00 AM,10,584.3,11,6-Sep,181.1,43.5,280,60,1200,58.43,62,72,2987.6,,0.935,409,0.552,,
Tuesday,09/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,09/07/2016 12:00:00 AM,11,607.4,10.5,8-Sep,215.6,26.2,360,30,1320,55.22,60,70,,,0.972,425.2,0.574,,
Thursday,09/08/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,09/09/2016 12:00:00 AM,10,595.4,11,10-Sep,141,20.3,420,60,1200,59.54,73,60,,799.5,0.953,416.8,0.563,,
Saturday,09/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,09/11/2016 12:00:00 AM,9,595.1,10.5,12-Sep,234.8,22.8,360,35,1080,66.12,57,63,,,0.952,416.6,0.562,,
Monday,09/12/2016 12:00:00 AM,11,614,10.5,13-Sep,215.2,22,400,50,1320,55.82,61,66,2382.2,,0.982,429.8,0.58,,
Tuesday,09/13/2016 12:00:00 AM,9,588.4,10.5,14-Sep,167.3,57.3,290,50,1080,65.38,62,69,,,0.941,411.9,0.556,,
Wednesday,09/14/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,09/15/2016 12:00:00 AM,10,585.5,11,16-Sep,191.3,38.9,290,70,1200,58.55,61,70,,,0.937,409.9,0.553,,
Friday,09/16/2016 12:00:00 AM,10,594.3,10.5,17-Sep,196.3,24.5,300,50,1200,59.43,63,71,,758.3,0.951,416,0.562,,
Saturday,09/17/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,09/18/2016 12:00:00 AM,11,595,11,19-Sep,227,24.2,330,50,1320,54.09,58,71,,,0.952,416.5,0.562,,
Monday,09/19/2016 12:00:00 AM,,,,,,,,,,,,,2977.2,,,,,,
Tuesday,09/20/2016 12:00:00 AM,11,596.9,10.5,21-Sep,218.7,26.7,340,40,1320,54.26,59,71,,,0.955,417.8,0.564,,
Wednesday,09/21/2016 12:00:00 AM,10,612.1,10.5,22-Sep,243,16.3,430,30,1200,61.21,58,62,,,0.979,428.5,0.578,,
Thursday,09/22/2016 12:00:00 AM,10,597.9,10.5,23-Sep,220,40,380,50,1200,59.79,57,64,,,0.957,418.5,0.565,,
Friday,09/23/2016 12:00:00 AM,,,,,,,,,,,,,,1076.3,,,,,
Saturday,09/24/2016 12:00:00 AM,10,587.1,11,25-Sep,224.6,15.1,430,20,1200,58.71,59,63,,,0.939,411,0.555,,
Sunday,09/25/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,09/26/2016 12:00:00 AM,10,586.9,11,28-Sep,157.1,47.5,260,170,1200,58.69,65,64,2394,,0.939,410.8,0.555,,
Tuesday,09/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,09/28/2016 12:00:00 AM,9,608.2,11,29-Sep,201.3,31.9,340,40,1080,67.58,62,65,,,0.973,425.7,0.575,,
Thursday,09/29/2016 12:00:00 AM,9,584.1,11,1-Oct,193.6,12.6,340,30,1080,64.9,65,66,,,0.935,408.9,0.552,,
Friday,09/30/2016 12:00:00 AM,,,,,,,,,,,,,,803,,,,10709.7,3630.7
Saturday,10/01/2016 12:00:00 AM,10,589.1,11,2-Oct,204.1,29.1,320,30,1200,58.91,60,71,,,0.943,412.4,0.557,,
Sunday,10/02/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,10/03/2016 12:00:00 AM,10,592.6,11,4-Oct,308.9,11.3,480,60,1200,59.26,46,55,2368.3,,0.948,414.8,0.56,,
Tuesday,10/04/2016 12:00:00 AM,8,586.9,11,5-Oct,169.9,46.5,260,60,960,73.36,63,67,,,0.939,410.8,0.555,,
Wednesday,10/05/2016 12:00:00 AM,10,591,11,6-Oct,194.7,21.3,320,40,1200,59.1,63,70,,,0.946,413.7,0.558,,
Thursday,10/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,10/07/2016 12:00:00 AM,11,606.1,11,8-Oct,207,28.9,270,30,1320,55.1,61,77,,1071.2,0.97,424.3,0.573,,
Saturday,10/08/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,10/09/2016 12:00:00 AM,10,589.3,10.5,10-Oct,206,21.3,360,30,1200,58.93,61,68,,,0.943,412.5,0.557,,
Monday,10/10/2016 12:00:00 AM,10,589.9,11,12-Oct,158.6,48.6,240,70,1200,58.99,65,74,2965.9,,0.944,412.9,0.557,,
Tuesday,10/11/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,10/12/2016 12:00:00 AM,9,589.3,11,13-Oct,289.9,27.3,430,30,1080,65.48,46,57,,,0.943,412.5,0.557,,
Thursday,10/13/2016 12:00:00 AM,10,592.5,11,14-Oct,179.8,24.7,300,60,1200,59.25,65,70,,,0.948,414.8,0.56,,
Friday,10/14/2016 12:00:00 AM,10,570,11,15-Oct,206.1,26.5,300,40,1200,57,59,72,,861.5,0.912,399,0.539,,
Saturday,10/15/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,10/16/2016 12:00:00 AM,10,595,11,17-Oct,223.2,28.6,370,50,1200,59.5,58,65,,,0.952,416.5,0.562,,
Monday,10/17/2016 12:00:00 AM,,,,,,,,,,,,,2936.7,,,,,,
Tuesday,10/18/2016 12:00:00 AM,9,584.4,11,19-Oct,170.4,33.9,320,50,1080,64.93,65,66,,,0.935,409.1,0.552,,
Wednesday,10/19/2016 12:00:00 AM,10,570.6,11,20-Oct,178.7,22.3,340,30,1200,57.06,65,69,,,0.913,399.4,0.539,,
Thursday,10/20/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,10/21/2016 12:00:00 AM,9,593.8,11,22-Oct,238.3,24.6,360,30,1080,65.98,56,64,,958.2,0.95,415.7,0.561,,
Saturday,10/22/2016 12:00:00 AM,10,609,11,24-Oct,203.5,25,340,40,1200,60.9,62,68,,,0.974,426.3,0.576,,
Sunday,10/23/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,10/24/2016 12:00:00 AM,11,602.4,11,25-Oct,217.8,42.2,350,50,1320,54.76,57,70,2357.8,,0.964,421.7,0.569,,
Tuesday,10/25/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,10/26/2016 12:00:00 AM,10,609.9,11,27-Oct,159.8,52.1,280,90,1200,60.99,65,69,,,0.976,426.9,0.576,,
Thursday,10/27/2016 12:00:00 AM,9,587.3,11,28-Oct,197.4,19.7,420,100,1080,65.26,63,52,,,0.94,411.1,0.555,,
Friday,10/28/2016 12:00:00 AM,9,598.3,11,31-Oct,213.7,43.2,270,50,1080,66.48,57,70,,819.4,0.957,418.8,0.565,,
Saturday,10/29/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,10/30/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,10/31/2016 12:00:00 AM,10,604.3,11,2-Nov,227,31.5,390,40,1200,60.43,57,64,2397.9,,0.967,423,0.571,11851.7,4154.8
Tuesday,11/01/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,11/02/2016 12:00:00 AM,10,584.4,11,3-Nov,219.5,17.9,420,50,1200,58.44,59,61,,,0.935,409.1,0.552,,
Thursday,11/03/2016 12:00:00 AM,10,597,11,4-Nov,177.2,40.2,320,50,1200,59.7,64,69,,,0.955,417.9,0.564,,
Friday,11/04/2016 12:00:00 AM,9,591.1,11,6-Nov,221.8,27.8,360,40,1080,65.68,58,63,,857.6,0.946,413.8,0.559,,
Saturday,11/05/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,11/06/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,11/07/2016 12:00:00 AM,9,576.8,11,8-Nov,165.1,89.8,240,120,1080,64.09,56,67,2376.8,,0.923,403.8,0.545,,
Tuesday,11/08/2016 12:00:00 AM,9,572.1,11,9-Nov,177.3,19,320,60,1080,63.57,66,65,,,0.915,400.5,0.541,,
Wednesday,11/09/2016 12:00:00 AM,11,609,11,10-Nov,205.2,20.6,400,30,1320,55.36,63,67,,,0.974,426.3,0.576,,
Thursday,11/10/2016 12:00:00 AM,10,592.9,11,11-Nov,196.5,24.9,360,40,1200,59.29,63,67,,,0.949,415,0.56,,
Friday,11/11/2016 12:00:00 AM,,,,,,,,,,,,,,946.6,,,,,
Saturday,11/12/2016 12:00:00 AM,10,583.5,11,13-Nov,211.3,23.1,280,30,1200,58.35,60,74,,,0.934,408.5,0.551,,
Sunday,11/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,11/14/2016 12:00:00 AM,10,600.7,11,15-Nov,227.3,23,410,70,1200,60.07,58,60,2934.3,,0.961,420.5,0.568,,
Tuesday,11/15/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,11/16/2016 12:00:00 AM,9,566.3,11,17-Nov,151.1,23.4,260,20,1080,62.92,69,74,,,0.906,396.4,0.535,,
Thursday,11/17/2016 12:00:00 AM,9,590.4,11,18-Nov,213.2,11.2,420,70,1080,65.6,62,55,,,0.945,413.3,0.558,,
Friday,11/18/2016 12:00:00 AM,9,574.2,11,20-Nov,212.3,38,320,50,1080,63.8,56,66,,786.2,0.919,401.9,0.543,,
Saturday,11/19/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,11/21/2016 12:00:00 AM,,,,,,,,,,,,,2940.9,,,,,,
Tuesday,11/22/2016 12:00:00 AM,10,577.3,11,24-Nov,184.4,21.9,320,20,1200,57.73,64,72,,,0.924,404.1,0.546,,
Wednesday,11/23/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,11/24/2016 12:00:00 AM,10,586.9,11,25-Nov,198.9,50.9,360,30,1200,58.69,57,68,,,0.939,410.8,0.555,,
Friday,11/25/2016 12:00:00 AM,11,602.1,11,26-Nov,210.6,33.7,420,50,1320,54.74,59,64,,823.7,0.963,421.5,0.569,,
Saturday,11/26/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,11/27/2016 12:00:00 AM,8,595.4,11,28-Nov,168,76.7,240,120,960,74.43,59,63,,,0.953,416.8,0.563,,
Monday,11/28/2016 12:00:00 AM,11,611,10.5,30-Nov,210.9,31.6,360,40,1320,55.55,60,70,2361.7,,0.978,427.7,0.577,,
Tuesday,11/29/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,11/30/2016 12:00:00 AM,9,628.2,10.5,1-Dec,186.5,39.5,340,50,1080,69.8,64,64,,,1.005,439.7,0.594,11248.6,3750.9
Thursday,12/01/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,12/02/2016 12:00:00 AM,10,598.5,10.5,3-Dec,240.4,21.1,450,40,1200,59.85,56,59,,974.9,0.958,419,0.566,,
Saturday,12/03/2016 12:00:00 AM,9,594.4,10.5,5-Dec,193,52,100,15,1080,66.04,59,89,,,0.951,416.1,0.562,,
Sunday,12/04/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,12/05/2016 12:00:00 AM,9,601.6,11,6-Dec,189.6,24.9,320,50,1080,66.84,64,66,2432.1,,0.963,421.1,0.569,,
Tuesday,12/06/2016 12:00:00 AM,10,607.3,11,7-Dec,187.9,19.3,360,30,1200,60.73,66,68,,,0.972,425.1,0.574,,
Wednesday,12/07/2016 12:00:00 AM,9,591,11,8-Dec,179.8,40,290,30,1080,65.67,63,70,,,0.946,413.7,0.558,,
Thursday,12/08/2016 12:00:00 AM,9,586.7,11,10-Dec,206.8,20.3,420,60,1080,65.19,61,56,,,0.939,410.7,0.554,,
Friday,12/09/2016 12:00:00 AM,,,,,,,,,,,,,,990.7,,,,,
Saturday,12/10/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,12/11/2016 12:00:00 AM,9,611.1,11,12-Dec,187.3,79.3,280,110,1080,67.9,56,64,,,0.978,427.8,0.577,,
Monday,12/12/2016 12:00:00 AM,11,595.3,11,14-Dec,197.3,20.1,380,40,1320,54.12,63,68,2997.7,,0.952,416.7,0.563,,
Tuesday,12/13/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,12/14/2016 12:00:00 AM,8,582,11,15-Dec,242.3,10,460,40,960,72.75,57,48,,,0.931,407.4,0.55,,
Thursday,12/15/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,12/16/2016 12:00:00 AM,,,,,,,,,,,,,,833.7,,,,,
Saturday,12/17/2016 12:00:00 AM,9,599,11,19-Dec,247.8,19.7,470,40,1080,66.56,55,53,,,0.958,419.3,0.566,,
Sunday,12/18/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Monday,12/19/2016 12:00:00 AM,9,564.9,11,22-Dec,215.7,18.2,410,50,1080,62.77,59,57,1776.3,,0.904,395.4,0.534,,
Tuesday,12/20/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,12/21/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,12/22/2016 12:00:00 AM,8,596.3,11,25-Dec,224.5,43,360,60,960,74.54,55,56,,,0.954,417.4,0.564,,
Friday,12/23/2016 12:00:00 AM,,,,,,,,,,,,,,463.5,,,,,
Saturday,12/24/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Sunday,12/25/2016 12:00:00 AM,8,572.5,11,31-Dec,257.6,24.1,360,30,960,71.56,51,59,,,0.916,400.8,0.541,,
Monday,12/26/2016 12:00:00 AM,,,,,,,,,,,,,1733.7,,,,,,
Tuesday,12/27/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Wednesday,12/28/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Thursday,12/29/2016 12:00:00 AM,,,,,,,,,,,,,,,,,,,
Friday,12/30/2016 12:00:00 AM,,,,,,,,,,,,,,482.1,,,,,
Saturday,12/31/2016 12:00:00 AM,9,567.1,11,1-Jan,213.3,18.3,340,25,1080,63.01,59,66,567.1,213.3,0.907,397,0.536,8267.7,2983.3
